570,1973,3448,7433
一个	yī gè
一個	yī gè
中国	zhōng guó
中國	zhōng guó
我们	wǒ mén
我們	wǒ mén
他们	tā mén
他們	tā mén
自己	zì jǐ
沒有	méi yǒu
没有	méi yǒu
国家	guó jiā
國家	guó jiā
可以	kě yǐ
发展	fā zhǎn
發展	fā zhǎn
工作	gōng zuò
这个	zhè gè
這個	zhè gè
什么	shí mó
什麼	shí mó
主要	zhǔ yào
問題	wèn tí
问题	wèn tí
进行	jìn háng
進行	jìn háng
地方	dì fāng
已經	yǐ jīng
已经	yǐ jīng
这样	zhè yàng
這樣	zhè yàng
全国	quán guó
全國	quán guó
經濟	jīng jì
经济	jīng jì
这些	zhè xiē
這些	zhè xiē
不是	bù shì
公司	gōng sī
人民	rén mín
社会	shè huì
社會	shè huì
知道	zhī dào
这种	zhè zhǒng
這種	zhè zhǒng
起來	qǐ lái
起来	qǐ lái
地区	dì qū
地區	dì qū
如果	rú guǒ
开始	kāi shǐ
開始	kāi shǐ
技术	jì shù
技術	jì shù
重要	zhòng yào
美国	měi guó
美國	měi guó
成为	chéng wéi
成爲	chéng wéi
因为	yīn wéi
因爲	yīn wéi
通过	tōng guò
通過	tōng guò
研究	yán jiū
文化	wén huà
企业	qǐ yè
企業	qǐ yè
北京	běi jīng
历史	lì shǐ
歷史	lì shǐ
世界	shì jiè
其中	qí zhōng
现在	xiàn zài
現在	xiàn zài
天安門	tiān ān mén
天安门	tiān ān mén
不能	bù néng
一些	yī xiē
时间	shí jiān
時間	shí jiān
生产	shēng chǎn
生產	shēng chǎn
情况	qíng kuàng
情況	qíng kuàng
代表	dài biǎo
决定	jué dìng
決定	jué dìng
湖北	hú běi
关系	guān xì
關係	guān xì
領導	lǐng dǎo
领导	lǐng dǎo
生活	shēng huó
时候	shí hòu
時候	shí hòu
一种	yī zhǒng
一種	yī zhǒng
可能	kě néng
出來	chū lái
出来	chū lái
学生	xué shēng
學生	xué shēng
以及	yǐ jí
石首	shí shǒu
一般	yī bān
同时	tóng shí
同時	tóng shí
認爲	rèn wéi
认为	rèn wéi
由于	yóu yú
由於	yóu yú
所以	suǒ yǐ
不同	bù tóng
这里	zhè lǐ
這裏	zhè lǐ
学院	xué yuàn
學院	xué yuàn
两个	liǎng gè
兩個	liǎng gè
作为	zuò wéi
作爲	zuò wéi
会议	huì yì
會議	huì yì
但是	dàn shì
部分	bù fēn
活动	huó dòng
活動	huó dòng
需要	xū yào
怎么	zěn mó
怎麼	zěn mó
管理	guǎn lǐ
方面	fāng miàn
市场	shì cháng
市場	shì cháng
組織	zǔ zhī
组织	zǔ zhī
工业	gōng yè
工業	gōng yè
建設	jiàn shè
建设	jiàn shè
形成	xíng chéng
其他	qí tā
出现	chū xiàn
出現	chū xiàn
許多	xū duō
许多	xǔ duō
日本	rì běn
之間	zhī jiān
之间	zhī jiān
一定	yī dìng
具有	jù yǒu
城市	chéng shì
人民代表大会	rén mín dài biǎo dà huì
人民代表大會	rén mín dài biǎo dà huì
以上	yǐ shàng
政治	zhèng zhì
人们	rén mén
人們	rén mén
委员会	wěi yuán huì
委員會	wěi yuán huì
发现	fā xiàn
發現	fā xiàn
記者	jì zhě
记者	jì zhě
国际	guó jì
國際	guó jì
規定	guī dìng
规定	guī dìng
机关	jī guān
機關	jī guān
武汉	wǔ hàn
武漢	wǔ hàn
虽然	suī rán
雖然	suī rán
根据	gēn jù
根據	gēn jù
法律	fǎ lǜ
影响	yǐng xiǎng
影響	yǐng xiǎng
包括	bāo kuò
发生	fā shēng
發生	fā shēng
使用	shǐ yòng
中心	zhōng xīn
教育	jiào yù
要求	yào qiú
政府	zhèng fǔ
因此	yīn cǐ
人口	rén kǒu
建立	jiàn lì
参加	cān jiā
參加	cān jiā
产品	chǎn pǐn
產品	chǎn pǐn
武汉市	wǔ hàn shì
武漢市	wǔ hàn shì
而且	ér qiě
一样	yī yàng
一樣	yī yàng
面积	miàn jī
面積	miàn jī
各种	gè zhǒng
各種	gè zhǒng
提出	tí chū
我国	wǒ guó
我國	wǒ guó
作用	zuò yòng
皇帝	huáng dì
必須	bì xū
必须	bì xū
行政	háng zhèng
編輯	biān jí
编辑	biān jí
职业	zhí yè
職業	zhí yè
制度	zhì dù
以后	yǐ hòu
以後	yǐ hòu
你们	nǐ mén
你們	nǐ mén
說道	shuō dào
说道	shuō dào
世紀	shì jì
世纪	shì jì
为了	wéi le
爲了	wéi le
应该	yīng gāi
應該	yīng gāi
之一	zhī yī
之后	zhī hòu
之後	zhī hòu
主席	zhǔ xí
系統	xì tǒng
系统	xì tǒng
有关	yǒu guān
有關	yǒu guān
組成	zǔ chéng
组成	zǔ chéng
民族	mín zú
基本	jī běn
增長	zēng cháng
增长	zēng cháng
自然	zì rán
大学	dà xué
大學	dà xué
如何	rú hé
政体	zhèng tǐ
政體	zhèng tǐ
各級	gè jí
各级	gè jí
人员	rén yuán
人員	rén yuán
計劃	jì huá
计划	jì huá
不会	bù huì
不會	bù huì
产生	chǎn shēng
產生	chǎn shēng
时期	shí qī
時期	shí qī
最后	zuì hòu
最後	zuì hòu
一次	yī cì
表示	biǎo shì
机构	jī gòu
機構	jī gòu
当时	dāng shí
當時	dāng shí
大家	dà jiā
特別	tè bié
特别	tè bié
改革	gǎi gé
長江	cháng jiāng
长江	cháng jiāng
那么	nà mó
那麼	nà mó
这么	zhè mó
這麼	zhè mó
东西	dōng xī
東西	dōng xī
能力	néng lì
湖北省	hú běi shěng
革命	gé mìng
一直	yī zhí
基础	jī chǔ
基礎	jī chǔ
还有	huán yǒu
還有	huán yǒu
得到	dé dào
进入	jìn rù
進入	jìn rù
运动	yùn dòng
運動	yùn dòng
目前	mù qián
对于	duì yú
對於	duì yú
过程	guò chéng
過程	guò chéng
方法	fāng fǎ
举行	jǔ háng
舉行	jǔ háng
羣衆	qún zhòng
群众	qún zhòng
第一	dì yī
单位	dān wèi
單位	dān wèi
如此	rú cǐ
孩子	hái zǐ
所有	suǒ yǒu
資源	zī yuán
资源	zī yuán
过去	guò qù
過去	guò qù
不过	bù guò
不過	bù guò
条件	tiáo jiàn
條件	tiáo jiàn
学校	xué xiào
學校	xué xiào
提高	tí gāo
工程	gōng chéng
环境	huán jìng
環境	huán jìng
提供	tí gōng
方式	fāng shì
百科	bǎi kē
報告	bào gào
报告	bào gào
或者	huò zhě
下來	xià lái
下来	xià lái
军事	jūn shì
軍事	jūn shì
部門	bù mén
部门	bù mén
分別	fēn bié
分别	fēn bié
十分	shí fēn
上海	shàng hǎi
完成	wán chéng
一切	yī qiē
那些	nà xiē
最大	zuì dà
然后	rán hòu
然後	rán hòu
农业	nóng yè
農業	nóng yè
經過	jīng guò
经过	jīng guò
专业	zhuān yè
專業	zhuān yè
准备	zhǔn bèi
準備	zhǔn bèi
增加	zēng jiā
獲得	huò dé
获得	huò dé
旅游	lǚ yóu
旅遊	lǚ yóu
一声	yī shēng
一聲	yī shēng
覺得	jué dé
觉得	jué dé
一起	yī qǐ
理論	lǐ lùn
理论	lǐ lùn
今天	jīn tiān
非常	fēi cháng
中央	zhōng yāng
比較	bǐ jiào
比较	bǐ jiào
表现	biǎo xiàn
表現	biǎo xiàn
价值	jià zhí
價值	jià zhí
国务院	guó wù yuàn
國務院	guó wù yuàn
科技	kē jì
完全	wán quán
亿元	yì yuán
億元	yì yuán
有些	yǒu xiē
存在	cún zài
达到	dá dào
達到	dá dào
內容	nèi róng
内容	nèi róng
实行	shí háng
實行	shí háng
思想	sī xiǎng
事情	shì qíng
实现	shí xiàn
實現	shí xiàn
甚至	shèn zhì
人民政府	rén mín zhèng fǔ
任务	rèn wù
任務	rèn wù
选举	xuǎn jǔ
選舉	xuǎn jǔ
形式	xíng shì
原來	yuán lái
原来	yuán lái
有人	yǒu rén
突然	tū rán
不断	bù duàn
不斷	bù duàn
咱们	zán mén
咱們	zán mén
变化	biàn huà
變化	biàn huà
心中	xīn zhōng
直接	zhí jiē
战争	zhàn zhēng
戰爭	zhàn zhēng
可是	kě shì
不知	bù zhī
政策	zhèng cè
不要	bù yào
資本	zī běn
资本	zī běn
繼續	jì xù
继续	jì xù
年代	nián dài
期間	qī jiān
期间	qī jiān
位于	wèi yú
位於	wèi yú
任何	rèn hé
权力	quán lì
權力	quán lì
那个	nà gè
那個	nà gè
執行	zhí háng
执行	zhí háng
先生	xiān shēng
解决	jiě jué
解決	jiě jué
建筑	jiàn zhù
建築	jiàn zhù
能够	néng gòu
能夠	néng gòu
自治区	zì zhì qū
自治區	zì zhì qū
称为	chēng wéi
稱爲	chēng wéi
結構	jié gòu
结构	jié gòu
一点	yī diǎn
一點	yī diǎn
成立	chéng lì
英国	yīng guó
英國	yīng guó
社会主义	shè huì zhǔ yì
社會主義	shè huì zhǔ yì
統一	tǒng yī
统一	tǒng yī
先进	xiān jìn
先進	xiān jìn
結果	jié guǒ
结果	jié guǒ
投資	tóu zī
投资	tóu zī
后来	hòu lái
後來	hòu lái
一下	yī xià
水平	shuǐ píng
保护	bǎo hù
保護	bǎo hù
主任	zhǔ rèn
关于	guān yú
關於	guān yú
負責	fù zé
负责	fù zé
制定	zhì dìng
艺术	yì shù
藝術	yì shù
利用	lì yòng
于是	yú shì
於是	yú shì
学习	xué xí
學習	xué xí
合作	hé zuò
科学	kē xué
科學	kē xué
看到	kàn dào
項目	xiàng mù
项目	xiàng mù
不敢	bù gǎn
襄阳	xiāng yáng
襄陽	xiāng yáng
几个	jī gè
幾個	jī gè
那裏	nà lǐ
那里	nà lǐ
公里	gōng lǐ
服务	fú wù
服務	fú wù
精神	jīng shén
人大	rén dà
全省	quán shěng
当然	dāng rán
當然	dāng rán
个人	gè rén
個人	gè rén
超过	chāo guò
超過	chāo guò
重点	zhòng diǎn
重點	zhòng diǎn
很多	hěn duō
原因	yuán yīn
及其	jí qí
公民	gōng mín
希望	xī wàng
新聞	xīn wén
新闻	xīn wén
設計	shè jì
设计	shè jì
相关	xiāng guān
相關	xiāng guān
国内	guó nèi
國內	guó nèi
分佈	fēn bù
分布	fēn bù
最高	zuì gāo
部队	bù duì
部隊	bù duì
它们	tā mén
它們	tā mén
集团	jí tuán
集團	jí tuán
信息	xìn xī
採用	cǎi yòng
采用	cǎi yòng
重大	zhòng dà
回來	huí lái
回来	huí lái
範圍	fàn wéi
范围	fàn wéi
引起	yǐn qǐ
实际	shí jì
實際	shí jì
其实	qí shí
其實	qí shí
不仅	bù jǐn
不僅	bù jǐn
取得	qǔ dé
丰富	fēng fù
豐富	fēng fù
农民	nóng mín
農民	nóng mín
整个	zhěng gè
整個	zhěng gè
为主	wéi zhǔ
爲主	wéi zhǔ
了解	le jiě
瞭解	liǎo jiě
价格	jià gé
價格	jià gé
甚么	shèn mó
甚麼	shèn mó
地位	dì wèi
这时	zhè shí
這時	zhè shí
劳动	láo dòng
勞動	láo dòng
按照	àn zhào
控制	kòng zhì
目标	mù biāo
目標	mù biāo
基地	jī dì
农村	nóng cūn
農村	nóng cūn
传统	chuán tǒng
傳統	chuán tǒng
受到	shòu dào
全部	quán bù
法国	fǎ guó
法國	fǎ guó
比賽	bǐ sài
比赛	bǐ sài
军队	jūn duì
軍隊	jūn duì
土地	tǔ dì
規模	guī mó
规模	guī mó
荆州	jīng zhōu
荊州	jīng zhōu
眼睛	yǎn jīng
左右	zuǒ yòu
选择	xuǎn zé
選擇	xuǎn zé
批准	pī zhǔn
身上	shēn shàng
专家	zhuān jiā
專家	zhuān jiā
分析	fēn xī
統治	tǒng zhì
统治	tǒng zhì
加強	jiā qiáng
加强	jiā qiáng
不到	bù dào
鐵路	tiě lù
铁路	tiě lù
百度	bǎi dù
每年	měi nián
告訴	gào sù
告诉	gào sù
支持	zhī chí
交通	jiāo tōng
明白	míng bái
处理	chǔ lǐ
處理	chǔ lǐ
本級	běn jí
本级	běn jí
作战	zuò zhàn
作戰	zuò zhàn
时代	shí dài
時代	shí dài
皇上	huáng shàng
实施	shí shī
實施	shí shī
只要	zhī yào
成功	chéng gōng
办法	bàn fǎ
辦法	bàn fǎ
随着	suí zhuó
隨着	suí zhuó
之中	zhī zhōng
进一步	jìn yī bù
進一步	jìn yī bù
心裏	xīn lǐ
心里	xīn lǐ
終於	zhōng yú
终于	zhōng yú
大量	dà liáng
人物	rén wù
共同	gòng tóng
全国人民代表大会	quán guó rén mín dài biǎo dà huì
全國人民代表大會	quán guó rén mín dài biǎo dà huì
下去	xià qù
多少	duō shǎo
來說	lái shuō
来说	lái shuō
严重	yán zhòng
嚴重	yán zhòng
詞條	cí tiáo
词条	cí tiáo
接受	jiē shòu
收入	shōu rù
以來	yǐ lái
以来	yǐ lái
城邦	chéng bāng
声音	shēng yīn
聲音	shēng yīn
意見	yì jiàn
意见	yì jiàn
过来	guò lái
過來	guò lái
保持	bǎo chí
今日	jīn rì
一条	yī tiáo
一條	yī tiáo
发言人	fā yán rén
發言人	fā yán rén
另外	lìng wài
坚持	jiān chí
堅持	jiān chí
工人	gōng rén
汽車	qì chē
汽车	qì chē
而是	ér shì
敌人	dí rén
敵人	dí rén
商品	shāng pǐn
說話	shuō huà
说话	shuō huà
改变	gǎi biàn
改變	gǎi biàn
先后	xiān hòu
先後	xiān hòu
力量	lì liáng
事业	shì yè
事業	shì yè
开发	kāi fā
看見	kàn jiàn
看见	kàn jiàn
開發	kāi fā
战略	zhàn lüè
戰略	zhàn lüè
标准	biāo zhǔn
標準	biāo zhǔn
是否	shì fǒu
中华人民共和国	zhōng huá rén mín gòng hé guó
中華人民共和國	zhōng huá rén mín gòng hé guó
出去	chū qù
今年	jīn nián
報道	bào dào
报道	bào dào
程度	chéng dù
国民党	guó mín dǎng
國民黨	guó mín dǎng
平均	píng jūn
消息	xiāo xī
还是	huán shì
還是	huán shì
安全	ān quán
独立	dú lì
獨立	dú lì
注意	zhù yì
机会	jī huì
機會	jī huì
韋小寶	wéi xiǎo bǎo
韦小宝	wéi xiǎo bǎo
父亲	fù qīn
父親	fù qīn
此外	cǐ wài
这次	zhè cì
這次	zhè cì
經驗	jīng yàn
经验	jīng yàn
採取	cǎi qǔ
采取	cǎi qǔ
喜欢	xǐ huān
喜歡	xǐ huān
根本	gēn běn
領域	lǐng yù
领域	lǐng yù
具体	jù tǐ
具體	jù tǐ
联系	lián xì
聯繫	lián xì
几乎	jī hū
幾乎	jī hū
干部	gān bù
幹部	gàn bù
印度	yìn dù
如今	rú jīn
大会	dà huì
大會	dà huì
不可	bù kě
兄弟	xiōng dì
德国	dé guó
德國	dé guó
阶段	jiē duàn
階段	jiē duàn
为什么	wéi shí mó
感到	gǎn dào
爲什麼	wéi shí mó
无法	wú fǎ
無法	wú fǎ
宪法	xiàn fǎ
憲法	xiàn fǎ
似乎	sì hū
原则	yuán zé
原則	yuán zé
真正	zhēn zhèng
法規	fǎ guī
法规	fǎ guī
斗争	dǒu zhēng
鬥爭	dòu zhēng
人类	rén lèi
人類	rén lèi
目的	mù de
造成	zào chéng
一位	yī wèi
反对	fǎn duì
反對	fǎn duì
儿子	ér zǐ
兒子	ér zǐ
相同	xiāng tóng
以前	yǐ qián
著名	zhù míng
众人	zhòng rén
衆人	zhòng rén
建議	jiàn yì
建议	jiàn yì
迅速	xùn sù
全面	quán miàn
正是	zhèng shì
明显	míng xiǎn
明顯	míng xiǎn
就是	jiù shì
欧洲	ōu zhōu
歐洲	ōu zhōu
作品	zuò pǐn
首先	shǒu xiān
集中	jí zhōng
正式	zhèng shì
朋友	péng yǒu
第二	dì èr
召开	zhào kāi
召開	zhào kāi
材料	cái liào
帮助	bāng zhù
幫助	bāng zhù
飛機	fēi jī
飞机	fēi jī
委员	wěi yuán
委員	wěi yuán
行动	háng dòng
行動	háng dòng
保證	bǎo zhèng
保证	bǎo zhèng
现象	xiàn xiàng
現象	xiàn xiàng
特点	tè diǎn
特點	tè diǎn
现代	xiàn dài
現代	xiàn dài
实际上	shí jì shàng
實際上	shí jì shàng
資料	zī liào
资料	zī liào
毛泽东	máo zé dōng
毛澤東	máo zé dōng
同志	tóng zhì
行为	háng wéi
行爲	háng wéi
結束	jié shù
结束	jié shù
直轄市	zhí xiá shì
直辖市	zhí xiá shì
介紹	jiè shào
介绍	jiè shào
只見	zhī jiàn
只见	zhī jiàn
勝利	shèng lì
胜利	shèng lì
認識	rèn shí
认识	rèn shí
人数	rén shù
人數	rén shù
姑娘	gū niáng
积极	jī jí
積極	jī jí
家庭	jiā tíng
之前	zhī qián
更加	gēng jiā
回答	huí dá
武器	wǔ qì
那样	nà yàng
那樣	nà yàng
应用	yīng yòng
應用	yīng yòng
市長	shì cháng
市长	shì cháng
來到	lái dào
来到	lái dào
設立	shè lì
设立	shè lì
产业	chǎn yè
產業	chǎn yè
公路	gōng lù
人才	rén cái
意义	yì yì
意義	yì yì
台湾	tái wān
臺灣	tái wān
容易	róng yì
長期	cháng qī
长期	cháng qī
一句	yī jù
大道	dà dào
扩大	kuò dà
擴大	kuò dà
官员	guān yuán
官員	guān yuán
調整	diào zhěng
调整	tiáo zhěng
考慮	kǎo lǜ
考虑	kǎo lǜ
联合	lián hé
聯合	lián hé
並且	bìng qiě
并且	bìng qiě
自由	zì yóu
仍然	réng rán
拥有	yōng yǒu
擁有	yōng yǒu
民主	mín zhǔ
专门	zhuān mén
專門	zhuān mén
附近	fù jìn
一天	yī tiān
师父	shī fù
師父	shī fù
結合	jié hé
结合	jié hé
清楚	qīng chǔ
說明	shuō míng
说明	shuō míng
稳定	wěn dìng
穩定	wěn dìng
古代	gǔ dài
三个	sān gè
三個	sān gè
此时	cǐ shí
此時	cǐ shí
物質	wù zhì
物质	wù zhì
电话	diàn huà
電話	diàn huà
網絡	wǎng luò
网络	wǎng luò
利益	lì yì
然而	rán ér
很大	hěn dà
不少	bù shǎo
中学	zhōng xué
中學	zhōng xué
开放	kāi fàng
調查	diào chá
调查	tiáo chá
開放	kāi fàng
人家	rén jiā
重新	zhòng xīn
广泛	guǎng fàn
廣泛	guǎng fàn
分为	fēn wéi
分爲	fēn wéi
知識	zhī shí
知识	zhī shí
別人	bié rén
别人	bié rén
綜合	zōng hé
综合	zōng hé
出口	chū kǒu
动物	dòng wù
動物	dòng wù
速度	sù dù
总理	zǒng lǐ
總理	zǒng lǐ
脸上	liǎn shàng
臉上	liǎn shàng
用于	yòng yú
用於	yòng yú
設備	shè bèi
设备	shè bèi
女人	nǚ rén
股东	gǔ dōng
股東	gǔ dōng
作出	zuò chū
展开	zhǎn kāi
展開	zhǎn kāi
措施	cuò shī
通常	tōng cháng
电子	diàn zǐ
電子	diàn zǐ
方向	fāng xiàng
导弹	dǎo dàn
導彈	dǎo dàn
小时	xiǎo shí
小時	xiǎo shí
平民	píng mín
行业	háng yè
行業	háng yè
特色	tè sè
貨幣	huò bì
货币	huò bì
完善	wán shàn
地理	dì lǐ
功能	gōng néng
香港	xiāng gǎng
巨大	jù dà
发表	fā biǎo
發表	fā biǎo
性質	xìng zhì
性质	xìng zhì
母亲	mǔ qīn
母親	mǔ qīn
質量	zhì liáng
质量	zhì liáng
命令	mìng líng
和平	hé píng
监督	jiān dū
監督	jiān dū
一年	yī nián
身体	shēn tǐ
身體	shēn tǐ
面前	miàn qián
武功	wǔ gōng
位置	wèi zhì
体系	tǐ xì
體系	tǐ xì
越來越	yuè lái yuè
越来越	yuè lái yuè
逐渐	zhú jiàn
逐漸	zhú jiàn
指出	zhǐ chū
安排	ān pái
权利	quán lì
權利	quán lì
訓練	xùn liàn
训练	xùn liàn
考試	kǎo shì
考试	kǎo shì
指挥	zhǐ huī
指揮	zhǐ huī
却是	què shì
卻是	què shì
指导	zhǐ dǎo
指導	zhǐ dǎo
发布	fā bù
發佈	fā bù
除了	chú le
从而	cóng ér
從而	cóng ér
感覺	gǎn jué
感觉	gǎn jué
努力	nǔ lì
机场	jī cháng
機場	jī cháng
业务	yè wù
業務	yè wù
植物	zhí wù
同样	tóng yàng
同樣	tóng yàng
状态	zhuàng tài
狀態	zhuàng tài
人民代表大会常务委员会	rén mín dài biǎo dà huì cháng wù wěi yuán huì
人民代表大會常務委員會	rén mín dài biǎo dà huì cháng wù wěi yuán huì
二人	èr rén
銀行	yín háng
银行	yín háng
书记	shū jì
書記	shū jì
治疗	zhì liáo
治療	zhì liáo
一阵	yī zhèn
一陣	yī zhèn
所謂	suǒ wèi
所谓	suǒ wèi
这位	zhè wèi
這位	zhè wèi
反应	fǎn yīng
反應	fǎn yīng
語言	yǔ yán
语言	yǔ yán
忽然	hū rán
当年	dāng nián
當年	dāng nián
以下	yǐ xià
找到	zhǎo dào
青年	qīng nián
宣佈	xuān bù
宣布	xuān bù
恢复	huī fù
恢復	huī fù
离开	lí kāi
離開	lí kāi
困难	kùn nán
困難	kùn nán
事件	shì jiàn
哪裏	nǎ lǐ
哪里	nǎ lǐ
实在	shí zài
實在	shí zài
見到	jiàn dào
见到	jiàn dào
装备	zhuāng bèi
裝備	zhuāng bèi
某些	mǒu xiē
其它	qí tā
問道	wèn dào
问道	wèn dào
万元	wàn yuán
萬元	wàn yuán
检察院	jiǎn chá yuàn
檢察院	jiǎn chá yuàn
平原	píng yuán
經營	jīng yíng
经营	jīng yíng
多年	duō nián
往往	wǎng wǎng
苏联	sū lián
蘇聯	sū lián
广场	guǎng cháng
廣場	guǎng cháng
解释	jiě shì
解釋	jiě shì
因素	yīn sù
队伍	duì wǔ
隊伍	duì wǔ
教授	jiào shòu
医院	yī yuàn
醫院	yī yuàn
怎样	zěn yàng
怎樣	zěn yàng
男人	nán rén
双方	shuāng fāng
雙方	shuāng fāng
减少	jiǎn shǎo
減少	jiǎn shǎo
考生	kǎo shēng
当地	dāng dì
當地	dāng dì
多种	duō zhǒng
多種	duō zhǒng
經常	jīng cháng
经常	jīng cháng
各地	gè dì
生物	shēng wù
平方千米	píng fāng qiān mǐ
南京	nán jīng
海军	hǎi jūn
海軍	hǎi jūn
外交部	wài jiāo bù
真是	zhēn shì
心想	xīn xiǎng
外国	wài guó
外國	wài guó
財產	cái chǎn
财产	cái chǎn
全市	quán shì
本來	běn lái
本来	běn lái
两种	liǎng zhǒng
兩種	liǎng zhǒng
有效	yǒu xiào
尤其	yóu qí
一边	yī biān
一邊	yī biān
用戶	yòng hù
用户	yòng hù
方案	fāng àn
进攻	jìn gōng
進攻	jìn gōng
常委会	cháng wěi huì
常委會	cháng wěi huì
机械	jī xiè
機械	jī xiè
参与	cān yǔ
參與	cān yǔ
充分	chōng fēn
从事	cóng shì
從事	cóng shì
儘管	jǐn guǎn
尽管	jìn guǎn
特殊	tè shū
又称	yòu chēng
又稱	yòu chēng
一块	yī kuài
一塊	yī kuài
手段	shǒu duàn
生命	shēng mìng
便是	biàn shì
体育	tǐ yù
體育	tǐ yù
居民	jū mín
天安門廣場	tiān ān mén guǎng cháng
天安门广场	tiān ān mén guǎng cháng
生長	shēng cháng
生长	shēng cháng
內部	nèi bù
内部	nèi bù
立即	lì jí
简单	jiǎn dān
簡單	jiǎn dān
一片	yī piàn
全国人大常委会	quán guó rén dà cháng wěi huì
全國人大常委會	quán guó rén dà cháng wěi huì
数量	shù liáng
數量	shù liáng
有时	yǒu shí
有時	yǒu shí
开展	kāi zhǎn
開展	kāi zhǎn
文学	wén xué
文學	wén xué
进来	jìn lái
進來	jìn lái
决议	jué yì
決議	jué yì
显示	xiǎn shì
顯示	xiǎn shì
属于	shǔ yú
屬於	shǔ yú
也許	yě xū
也许	yě xǔ
中国共产党	zhōng guó gòng chǎn dǎng
中國共產黨	zhōng guó gòng chǎn dǎng
气候	qì hòu
氣候	qì hòu
一只	yī zhī
一隻	yī zhī
來自	lái zì
来自	lái zì
还要	huán yào
還要	huán yào
相信	xiāng xìn
确定	què dìng
確定	què dìng
投入	tóu rù
一面	yī miàn
普通	pǔ tōng
看着	kàn zhuó
公元	gōng yuán
去年	qù nián
文章	wén zhāng
手中	shǒu zhōng
心理	xīn lǐ
女儿	nǚ ér
女兒	nǚ ér
封建	fēng jiàn
图片	tú piàn
圖片	tú piàn
创造	chuàng zào
創造	chuàng zào
总统	zǒng tǒng
總統	zǒng tǒng
促进	cù jìn
促進	cù jìn
大型	dà xíng
带来	dài lái
帶來	dài lái
教师	jiào shī
教師	jiào shī
竟然	jìng rán
較大	jiào dà
较大	jiào dà
看來	kàn lái
看来	kàn lái
若干	ruò gān
反映	fǎn yìng
每个	měi gè
每個	měi gè
每天	měi tiān
食品	shí pǐn
坐在	zuò zài
文明	wén míng
相当	xiāng dāng
相當	xiāng dāng
变成	biàn chéng
變成	biàn chéng
資金	zī jīn
资金	zī jīn
放在	fàng zài
毫米	háo mǐ
中間	zhōng jiān
中间	zhōng jiān
夫人	fū rén
相对	xiāng duì
相對	xiāng duì
大陆	dà lù
大陸	dà lù
职权	zhí quán
職權	zhí quán
西方	xī fāng
不再	bù zài
第一次	dì yī cì
导致	dǎo zhì
導致	dǎo zhì
对方	duì fāng
對方	duì fāng
应当	yīng dāng
應當	yīng dāng
人民法院	rén mín fǎ yuàn
討論	tǎo lùn
讨论	tǎo lùn
即使	jí shǐ
金融	jīn róng
愛國	ài guó
爱国	ài guó
證明	zhèng míng
证明	zhèng míng
制造	zhì zào
製造	zhì zào
构成	gòu chéng
構成	gòu chéng
老师	lǎo shī
老師	lǎo shī
担任	dān rèn
擔任	dān rèn
